dataset,embedding,relevance,Recall@1,Recall@3,Recall@5,Recall@10
JSQuAD-v1.1-valid,VertexAITextEmbedding-textembedding-gecko-multilingual@001,Cosine,0.7807294011706438,0.9043223773075192,0.9324628545700135,0.9610535794687078
JSQuAD-v1.1-valid,VertexAITextEmbedding-textembedding-gecko-multilingual@latest,Cosine,0.7807294011706438,0.9045475011256191,0.9322377307519135,0.9606033318325079
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-sonoisa/sentence-bert-base-ja-mean-tokens-v2,Cosine,0.639801891040072,0.7829806393516434,0.8412877082395317,0.894867176947321
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-pkshatech/GLuCoSE-base-ja,Cosine,0.644754615038271,0.7980639351643404,0.8464655560558307,0.8966681674921206
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-cl-nagoya/sup-simcse-ja-base,Cosine,0.6319225574065737,0.7926609635299414,0.8489419180549302,0.8971184151283206
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-cl-nagoya/sup-simcse-ja-large,Cosine,0.6031067086897793,0.7764520486267447,0.8334083746060333,0.8892390814948221
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-cl-nagoya/unsup-simcse-ja-base,Cosine,0.5772174696082846,0.7469608284556506,0.8041422782530392,0.8707789284106259
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-cl-nagoya/unsup-simcse-ja-large,Cosine,0.594777127420081,0.7559657811796489,0.8180999549752364,0.8795587573165241
JSQuAD-v1.1-valid,OpenAIEmbedding-text-embedding-ada-002,Cosine,0.7539396668167492,0.8746060333183251,0.9067987393066187,0.9378658262044124
JSQuAD-v1.1-valid,SonoisaSentenceBertJapanese-sonoisa/sentence-bert-base-ja-mean-tokens-v2,Cosine,0.6542098153984691,0.8106708689779378,0.8628995947771274,0.9142278253039171
JSQuAD-v1.1-valid,SonoisaSentenceLukeJapanese-sonoisa/sentence-luke-japanese-base-lite,Cosine,0.6526339486717695,0.8131472309770373,0.8613237280504278,0.9088248536695183
JSQuAD-v1.1-valid,E5Embedding-intfloat/multilingual-e5-small,Cosine,0.8403872129671319,0.9338135974786133,0.9538496172895092,0.9729851418280054
JSQuAD-v1.1-valid,E5Embedding-intfloat/multilingual-e5-base,Cosine,0.8383610986042324,0.9340387212967132,0.954975236380009,0.9725348941918055
JSQuAD-v1.1-valid,E5Embedding-intfloat/multilingual-e5-large,Cosine,0.864925709140027,0.9529491220171095,0.9657811796488068,0.9774876181900045
