dataset,embedding,relevance,Recall@1,Recall@3,Recall@5,Recall@10,Recall@100
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-BAAI/bge-m3,Cosine,0.84984241332733,0.9392165691130122,0.9585772174696083,0.9759117514633048,0.9961728950923008
MIRACL-v1.0-dev,SentenceTransformerEmbedding-BAAI/bge-m3,Cosine,0.4415665374677001,0.6863219822812843,0.7695160072485653,0.8537602771905093,0.9809840514782376
JSQuAD-v1.1-valid,E5Embedding-intfloat/multilingual-e5-small,Cosine,0.8403872129671319,0.9338135974786133,0.9538496172895092,0.9729851418280054,0.9966231427285007
MIRACL-v1.0-dev,E5Embedding-intfloat/multilingual-e5-small,Cosine,0.3549607788851974,0.5991103728313028,0.6886355666297524,0.7833905919661732,0.9721482683982683
JSQuAD-v1.1-valid,E5Embedding-intfloat/multilingual-e5-base,Cosine,0.8383610986042324,0.9340387212967132,0.954975236380009,0.9725348941918055,0.9966231427285007
MIRACL-v1.0-dev,E5Embedding-intfloat/multilingual-e5-base,Cosine,0.3733121077888519,0.6120247323735692,0.6878294573643411,0.7988838551629245,0.9768681415483741
JSQuAD-v1.1-valid,E5Embedding-intfloat/multilingual-e5-large,Cosine,0.864925709140027,0.9529491220171095,0.9657811796488068,0.9774876181900045,0.9977487618190004
MIRACL-v1.0-dev,E5Embedding-intfloat/multilingual-e5-large,Cosine,0.4427016426725728,0.6585552787006275,0.7410414359542267,0.8352727859995299,0.9825593560186583
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-sonoisa/sentence-bert-base-ja-mean-tokens-v2,Cosine,0.639801891040072,0.7829806393516434,0.8412877082395317,0.894867176947321,0.9795137325529041
MIRACL-v1.0-dev,SentenceTransformerEmbedding-sonoisa/sentence-bert-base-ja-mean-tokens-v2,Cosine,0.08999584717607974,0.20345191952750097,0.2643696936138797,0.35761074197120707,0.708595632403772
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-pkshatech/GLuCoSE-base-ja,Cosine,0.644754615038271,0.7980639351643404,0.8464655560558307,0.8966681674921206,0.9831157136425034
MIRACL-v1.0-dev,SentenceTransformerEmbedding-pkshatech/GLuCoSE-base-ja,Cosine,0.26767764857881143,0.47203949796973044,0.5469624400147653,0.6457461240310078,0.861757273734018
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-cl-nagoya/sup-simcse-ja-base,Cosine,0.6319225574065737,0.7926609635299414,0.8489419180549302,0.8971184151283206,0.9790634849167041
MIRACL-v1.0-dev,SentenceTransformerEmbedding-cl-nagoya/sup-simcse-ja-base,Cosine,0.058756921373200446,0.13690522332964192,0.18581441491325212,0.26733996946206257,0.5904081512802444
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-cl-nagoya/sup-simcse-ja-large,Cosine,0.6031067086897793,0.7764520486267447,0.8334083746060333,0.8892390814948221,0.9792886087348042
MIRACL-v1.0-dev,SentenceTransformerEmbedding-cl-nagoya/sup-simcse-ja-large,Cosine,0.07120385751199707,0.15461840162421553,0.20299880029531184,0.2936360280546326,0.5845848853988389
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-cl-nagoya/unsup-simcse-ja-base,Cosine,0.5772174696082846,0.7469608284556506,0.8041422782530392,0.8707789284106259,0.9725348941918055
MIRACL-v1.0-dev,SentenceTransformerEmbedding-cl-nagoya/unsup-simcse-ja-base,Cosine,0.0414548726467331,0.09632659653008492,0.12155869324473977,0.19529854189737922,0.5000007131111783
JSQuAD-v1.1-valid,SentenceTransformerEmbedding-cl-nagoya/unsup-simcse-ja-large,Cosine,0.594777127420081,0.7559657811796489,0.8180999549752364,0.8795587573165241,0.9741107609185051
MIRACL-v1.0-dev,SentenceTransformerEmbedding-cl-nagoya/unsup-simcse-ja-large,Cosine,0.055419435215946854,0.1022517534145441,0.14210363602805462,0.2186863233665559,0.5280602536997885
JSQuAD-v1.1-valid,SonoisaSentenceBertJapanese-sonoisa/sentence-bert-base-ja-mean-tokens-v2,Cosine,0.6542098153984691,0.8106708689779378,0.8628995947771274,0.9142278253039171,0.9864925709140027
MIRACL-v1.0-dev,SonoisaSentenceBertJapanese-sonoisa/sentence-bert-base-ja-mean-tokens-v2,Cosine,0.06935631229235883,0.17038805832410484,0.22144056847545218,0.3142515688445921,0.660343971274204
JSQuAD-v1.1-valid,SonoisaSentenceLukeJapanese-sonoisa/sentence-luke-japanese-base-lite,Cosine,0.6526339486717695,0.8131472309770373,0.8613237280504278,0.9088248536695183,0.9864925709140027
MIRACL-v1.0-dev,SonoisaSentenceLukeJapanese-sonoisa/sentence-luke-japanese-base-lite,Cosine,0.06602436323366558,0.1446165559246954,0.21148394241417495,0.29742663344407533,0.6227321386623712
JSQuAD-v1.1-valid,ColBERTRetriever-bclavie/JaColBERTv2,Cosine,0.9207564160288159,0.9678072940117064,0.9765871229176046,0.9826654660063034,0.9952723998199009
MIRACL-v1.0-dev,ColBERTRetriever-bclavie/JaColBERTv2,Cosine,0.38248708010335913,0.6222859408033824,0.7136444175979059,0.8242401171180245,0.9708554397798581
JSQuAD-v1.1-valid,ColBERTRetriever-bclavie/JaColBERT,Cosine,0.9113012156686178,0.9610535794687078,0.970058532192706,0.9772624943719046,0.9921206663665015
MIRACL-v1.0-dev,ColBERTRetriever-bclavie/JaColBERT,Cosine,0.3223578811369509,0.5554637320044293,0.63937753783684,0.7486277643545084,0.9331029984227658
